@relation Rel

@attribute 'contains copyright' numeric
@attribute 'contains author' numeric
@attribute 'followed by class' numeric
@attribute 'doc comment' numeric
@attribute 'ast location' numeric
@attribute 'decl. distance' numeric
@attribute 'code indicators' numeric
@attribute 'special characters' numeric
@attribute context numeric
@attribute section numeric
@attribute 'inside method' numeric
@attribute length numeric
@attribute task numeric
@attribute 'followed by comment' numeric
@attribute first numeric
@attribute 'Classification Category' {COPYRIGHT,HEADER,INTERFACE,INLINE,SECTION,TASK,CODE}

@data
0,0,0,1,1,2,0,0.066667,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.028986,1,0,0,1,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.038095,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.013333,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.013793,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,1,6,0,0.014925,0,0,0,4,0,0,0,INTERFACE
0,0,1,0,0,-1,0,0.023529,0,0,0,1,0,0,0,HEADER
0,0,0,0,1,2,0,0.023256,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.035714,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,6,0,0.026316,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,1,0,0.064516,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.028986,1,0,0,1,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.028369,1,0,0,6,0,0,0,INTERFACE
0,0,0,0,2,39,0,0.046154,1,0,1,1,0,0,0,INTERFACE
0,0,0,0,2,13,0,0.052632,0,0,1,1,0,0,0,INTERFACE
0,0,0,0,2,54,0,0.125,1,0,1,1,0,0,0,INTERFACE
0,0,0,0,2,0,0,0.038462,1,0,1,1,0,0,0,INLINE
0,0,0,1,1,2,0,0.038835,1,0,0,4,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.014493,1,0,0,4,0,0,0,INTERFACE
1,1,0,0,0,-1,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,1,0,0,12,0,0.01,1,0,0,6,0,0,0,HEADER
1,1,0,0,0,-1,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,0,0,0,37,0,0.013699,1,0,0,6,0,0,0,HEADER
1,1,0,0,0,-1,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,1,0,0,7,0,0.037736,0,0,0,4,0,0,0,HEADER
1,1,0,0,0,-1,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,1,0,0,113,0,0.016129,1,0,0,6,0,0,0,HEADER
1,1,0,0,0,-1,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.003868,0,0,0,12,0,0,0,HEADER
1,1,0,0,0,-1,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.00566,0,0,0,11,0,0,0,HEADER
1,1,0,0,0,-1,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,1,0,0,7,0,0.009569,0,0,0,7,0,0,0,HEADER
1,1,0,0,0,73,0,0.011505,0,0,0,21,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.026201,0,0,0,10,0,0,0,HEADER
1,0,0,0,0,-1,0,0.01601,0,0,0,18,0,0,1,COPYRIGHT
0,1,1,0,0,25,0,0.021739,1,0,0,7,0,0,0,HEADER
0,0,0,0,1,4,0,0.027397,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,7,0,0.055556,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.057143,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,3,0,0.035714,1,0,0,3,0,0,0,INTERFACE
0,0,0,1,1,8,0,0.007984,1,0,0,15,0,0,0,INTERFACE
1,0,0,0,0,-1,0,0.01601,0,0,0,18,0,0,1,COPYRIGHT
0,1,1,0,0,11,0,0.021739,1,0,0,7,0,0,0,HEADER
0,0,0,0,1,1,0,0.028571,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.060606,0,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,7,0,0.055556,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,4,0,0.057143,1,0,0,1,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.034483,1,0,0,3,0,0,0,INTERFACE
0,0,0,0,2,5,0,0.027397,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,5,0,0.027027,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,5,0,0.027397,0,0,1,1,0,0,0,INLINE
1,0,0,0,0,-1,0,0.01601,0,0,0,18,0,0,1,COPYRIGHT
0,1,1,0,0,11,0,0.034483,0,0,0,7,0,0,0,HEADER
0,0,0,0,1,1,0,0.022059,1,0,0,5,0,0,0,INTERFACE
0,0,0,0,1,7,0,0.055556,1,0,0,1,0,0,0,INTERFACE
